Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
20,11287,species,Downy Woodpecker,Dryobates pubescens,2,Mint Springs Valley Park,US-VA,25 Dec 2023,L618810,S157086068,,1
21,33874,species,Yellow-rumped Warbler,Setophaga coronata,1,Albemarle County Community Park,US-VA,24 Dec 2023,L879463,S157030431,,1
22,32919,species,White-throated Sparrow,Zonotrichia albicollis,2,Albemarle County Community Park,US-VA,24 Dec 2023,L879463,S157030431,,1
23,21836,species,Carolina Chickadee,Poecile carolinensis,1,Albemarle County Community Park,US-VA,24 Dec 2023,L879463,S157030431,,1
24,21333,species,American Crow,Corvus brachyrhynchos,4,Albemarle County Community Park,US-VA,24 Dec 2023,L879463,S157030431,,1
25,8391,species,Red-shouldered Hawk,Buteo lineatus,1,Great Falls Park,US-VA,18 Jun 2023,L718485,S142025388,,1
26,7720,species,Turkey Vulture,Cathartes aura,1,Great Falls Park,US-VA,18 Jun 2023,L718485,S142025388,,1
27,7716,species,Black Vulture,Coragyps atratus,4,Great Falls Park,US-VA,18 Jun 2023,L718485,S142025388,,1
28,33749,species,Common Yellowthroat,Geothlypis trichas,1,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
29,33576,species,Common Grackle,Quiscalus quiscula,4,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
30,33500,species,Red-winged Blackbird,Agelaius phoeniceus,15,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
31,33491,species,Baltimore Oriole,Icterus galbula,1,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
32,33401,species,Orchard Oriole,Icterus spurius,2,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
33,32034,species,House Finch,Haemorhous mexicanus,2,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,N,1
34,31261,species,House Sparrow,Passer domesticus,6,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,N,1
35,27758,species,Gray Catbird,Dumetella carolinensis,1,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
36,27571,species,European Starling,Sturnus vulgaris,5,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,N,1
37,26874,species,Blue-gray Gnatcatcher,Polioptila caerulea,4,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
38,23957,species,Barn Swallow,Hirundo rustica,1,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
39,23876,species,Northern Rough-winged Swallow,Stelgidopteryx serripennis,2,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
40,23834,species,Tree Swallow,Tachycineta bicolor,3,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
41,21346,species,Fish Crow,Corvus ossifragus,5,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
42,11088,species,Red-bellied Woodpecker,Melanerpes carolinus,3,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
43,9117,species,Barred Owl,Strix varia,2,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
44,8811,species,Great Horned Owl,Bubo virginianus,2,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
45,8271,species,Bald Eagle,Haliaeetus leucocephalus,3,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
46,7737,species,Osprey,Pandion haliaetus,2,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
47,7658,species,Great Blue Heron,Ardea herodias,2,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
48,7342,species,Double-crested Cormorant,Nannopterum auritum,2,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
49,2373,species,Mourning Dove,Zenaida macroura,2,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
50,525,species,Mallard,Anas platyrhynchos,1,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
51,330,species,Canada Goose,Branta canadensis,4,Dyke Marsh Wildlife Preserve,US-VA,07 May 2023,L159300,S136486040,,1
52,34224,species,Northern Cardinal,Cardinalis cardinalis,1,Cedar Run,US-VA,23 Apr 2023,L1537791,S134793703,,1
53,33779,species,American Redstart,Setophaga ruticilla,4,Cedar Run,US-VA,23 Apr 2023,L1537791,S134793703,,1
54,33675,species,Louisiana Waterthrush,Parkesia motacilla,2,Cedar Run,US-VA,23 Apr 2023,L1537791,S134793703,,1
55,33136,species,Eastern Towhee,Pipilo erythrophthalmus,1,Cedar Run,US-VA,23 Apr 2023,L1537791,S134793703,,1
56,32338,species,American Goldfinch,Spinus tristis,5,Cedar Run,US-VA,23 Apr 2023,L1537791,S134793703,,1
57,28313,species,American Robin,Turdus migratorius,1,Cedar Run,US-VA,23 Apr 2023,L1537791,S134793703,,1
58,27107,species,Carolina Wren,Thryothorus ludovicianus,2,Cedar Run,US-VA,23 Apr 2023,L1537791,S134793703,,1
59,19021,species,Yellow-throated Vireo,Vireo flavifrons,1,Cedar Run,US-VA,23 Apr 2023,L1537791,S134793703,,1
6,8477,spuh,Buteo sp.,Buteo sp.,1,Blue Ridge Parkway--Afton Overlook,US-VA,12 May 2024,L4725846,S174008390,,0
